PluginName;FormID;PerkName;Description;SkillType;SkillLevel
Ordinator - Perks of Skyrim.esp;060148FE;Illusion Mastery 1;Illusion spells cost 35% less Magicka, Illusion spells last 0.5% longer per level of Illusion, and mind affecting Illusion spells (Calm, Fear, Frenzy, Rally) are 0.1 points stronger per level of Illusion.;Illusion;0
Ordinator - Perks of Skyrim.esp;06014904;Illusion Mastery 2;Illusion spells cost 50% less Magicka, Illusion spells last 1% longer per level of Illusion, and mind affecting Illusion spells (Calm, Fear, Frenzy, Rally) are 0.2 points stronger per level of Illusion.;Illusion;20.000000
Skyrim.esm;000153D0;Illusion Dual Casting;Dual casting an Illusion spell empowers it, increasing effectiveness and cost.;Illusion;20.000000
Skyrim.esm;000581FD;Quiet Before the Storm;All spells you cast from any school of magic are silent to others.;Illusion;40.000000
Ordinator - Perks of Skyrim.esp;0601FC99;Quiet Before the Storm;All spells you cast from any school of magic, as well as all shouts, are silent to others.;Illusion;70.000000
Ordinator - Perks of Skyrim.esp;0601B5B3;Night Eye;"Grants the ""Night Eye"" power. At will, grants improved night vision for 120 seconds.";Illusion;30.000000
Ordinator - Perks of Skyrim.esp;0601F711;Ghost of the Tenth Eye;Sneaking while under the effect of the Vision of the Tenth Eye spell will summon a disembodied eye under your control. The eye has 1 point of Health, but is invisible and silent. You must know the Vision of the Tenth Eye spell to learn this perk.;Illusion;90.000000
Ordinator - Perks of Skyrim.esp;0601DBD6;Entice Barter;Can Activate any target under the effect of a Calm spell to initiate trade.;Illusion;30.000000
Ordinator - Perks of Skyrim.esp;0601DBC9;Imposing Presence;You radiate an aura of mystical charisma that touches all within 40 feet. Any Illusion spell you cast on those affected is 25% more powerful and lasts 30% longer.;Illusion;30.000000
Ordinator - Perks of Skyrim.esp;0601F708;Commanding Presence;In combat, you radiate an aura of mystical nobility that touches allied creatures and people within 40 feet. Those affected gain 20% extra attack damage and have 20% chance of a critical strike.;Illusion;30.000000
Ordinator - Perks of Skyrim.esp;0601DBD7;Dream Thief;Activate sleeping victims to steal their dream, increasing the effectiveness of your Illusion spells by 50% for 3600 seconds. Chance to fail and alert the victim, based on Illusion skill.;Illusion;20.000000
Skyrim.esm;000581E2;Kindred Mage;Mind affecting spells and effects are 15 points stronger (or 30 points if you are the same race as the target).;Illusion;40.000000
Skyrim.esm;00059B77;Wilting;Those affected by a Calm spell or effect within the radius of Imposing Presence lose 200 points of armor and 50% magic resistance.;Illusion;40.000000
Ordinator - Perks of Skyrim.esp;0602DB9A;Crown of the False King;Commanding Presence also increases armor by 80 points and magic resistance by 20%.;Illusion;40.000000
Ordinator - Perks of Skyrim.esp;0601F70E;Shadow Refuge;While affected by an invisibility spell or effect, you take 35% less damage from attacks and sneaking is 15% better.;Illusion;70.000000
Skyrim.esm;000581E1;Fickle Fate;Mind affecting spells and effects cast on others are between 1 and 40 points stronger, chosen at random.;Illusion;50.000000
Ordinator - Perks of Skyrim.esp;0601F194;Nemesis;Activate any hostile creature or humanoid in combat to summon an illusion of the target with 1% extra attack damage per Illusion level. The illusion relentlessly attacks the target for 30 seconds. This effect has a 180 second cooldown.;Illusion;50.000000
Ordinator - Perks of Skyrim.esp;060B22DB;Neverworld;Those affected by a Calm spell or effect within the radius of Imposing Presence are enraptured by a lotus dream from which they may refuse to return to reality. When the Calm is broken due to an attack, they may become Calmed again for 30 seconds.;Illusion;70.000000
Skyrim.esm;00059B78;Terror;Those affected by a Fear spell or effect within the radius of Imposing Presence drop their weapon.;Illusion;50.000000
Skyrim.esm;00059B76;Master of the Mind;Mind affecting spells (Calm, Fear, Frenzy, Rally) and Commanding Presence also work on undead, daedra and automatons.;Illusion;60.000000
Ordinator - Perks of Skyrim.esp;0602020E;Imperious Splendor;Commanding Presence and Crown of the False King are twice as powerful as long as you remain above 75% Health.;Illusion;60.000000
Ordinator - Perks of Skyrim.esp;060B22DC;Soulcrusher;Feast upon the minds of those affected by a Fear spell or effect within the radius of Imposing Presence, absorbing 25 points of Magicka per second.;Illusion;80.000000
Ordinator - Perks of Skyrim.esp;0601F70F;The Reaper Comes;Activate any non-essential humanoid (only) under the effect of a Calm spell to send a wraith to slay the target within 15 seconds. This counts as an assault, if you get seen. This effect has a 180 second cooldown and can only affect one target at a time.;Illusion;70.000000
Ordinator - Perks of Skyrim.esp;0601F18E;Dream Charm;Activate sleeping victims to project yourself into their dream, improving their disposition towards you. High disposition may earn you quests, discounts and gifts. Chance to fail and alert the victim, based on Illusion skill.;Illusion;70.000000
Skyrim.esm;000C44B5;Pandemonium;Those affected by a Frenzy spell or effect within the radius of Imposing Presence gain 50% extra attack damage.;Illusion;60.000000
Ordinator - Perks of Skyrim.esp;0601F722;Blind Guardian;Activate any non-hostile creature or humanoid in combat to summon an illusion of the target. The illusion fights for the target for 60 seconds and the target won't flee for its duration. This effect has a 300 second cooldown.;Illusion;90.000000
Ordinator - Perks of Skyrim.esp;060B22DD;Nightfall;Those affected by a Frenzy spell or effect within the radius of Imposing Presence are consumed by battle hunger when there are no other enemies remaining, taking 40 points of damage per second.;Illusion;90.000000
Ordinator - Perks of Skyrim.esp;0601F71B;Wraithwalker;After using an Activate perk (Blind Guardian, Heavy Weighs the Tapestry, Lamb to the Slaughter, Nemesis, The Reaper Comes), Illusion spells are 50% more powerful and last 50% longer for 10 seconds. The cooldown of Activate perks ends after 8 seconds out of combat.;Illusion;100.000000
Ordinator - Perks of Skyrim.esp;0602E672;Lamb to the Slaughter;Activate any humanoid (only) under the effect of a Fear spell to compel the target to stand motionless for 30 seconds. Your attacks against this target ignore armor. This effect has a 180 second cooldown and can only affect one target at a time.;Illusion;80.000000
