PluginName;EditorIDFilter;Control
Summermyst - Enchantments of Skyrim.esp;SUM_;
Skyrim.esm;Dummy;
Skyrim.esm;Demo;
Skyrim.esm;Ench;
Dawnguard.esm;Ench;
Dragonborn.esm;Ench;
Skyrim.esm;Trap;
Dawnguard.esm;Trap;
Dragonborn.esm;Trap;
Skyrim.esm;Template;
Dawnguard.esm;Template;
Dawnguard.esm;Test;
Skyrim.esm;DBBladeOfWoeAstrid;
Skyrim.esm;BoundWeapon;
Skyrim.esm;TG07Chillrend001;
Skyrim.esm;TG07Chillrend002;
Skyrim.esm;TG07Chillrend003;
Skyrim.esm;TG07Chillrend004;
Skyrim.esm;TG07Chillrend005;
Skyrim.esm;MQ203AkaviriKatana1;
Skyrim.esm;MQ203AkaviriKatana2;
Skyrim.esm;MQ203AkaviriKatana3;
Skyrim.esm;MQ203AkaviriKatana4;
Skyrim.esm;FXdustDrop;
Skyrim.esm;FXprojectileWorking;
Skyrim.esm;dunFolgunthurMikrulSword02;
Skyrim.esm;dunFolgunthurMikrulSword03;
Skyrim.esm;dunFolgunthurMikrulSword04;
Skyrim.esm;dunFolgunthurMikrulSword05;
Skyrim.esm;dunGeirmundSigdisBow02;
Skyrim.esm;dunGeirmundSigdisBowIllusion;
Skyrim.esm;dunGeirmundSigdisBow03;
Skyrim.esm;dunGeirmundSigdisBow04;
Skyrim.esm;dunGeirmundSigdisBow05;
Skyrim.esm;GiantClub;
Skyrim.esm;FollowerHuntingBow;
Skyrim.esm;NonPlayable;
Skyrim.esm;NightingaleBlade01;
Skyrim.esm;NightingaleBladeNPC;
Skyrim.esm;NightingaleBlade02;
Skyrim.esm;NightingaleBlade03;
Skyrim.esm;NightingaleBlade04;
Skyrim.esm;NightingaleBow01;
Skyrim.esm;NightingaleBow02;
Skyrim.esm;NightingaleBow03;
Skyrim.esm;NightingaleBow04;
Skyrim.esm;dunFrostmereCryptPaleBlade01;
Skyrim.esm;dunFrostmereCryptPaleBlade02;
Skyrim.esm;dunFrostmereCryptPaleBlade03;
Skyrim.esm;dunFrostmereCryptPaleBlade04;
Dawnguard.esm;Keeper;
Dawnguard.esm;DLC1LD_KatriaBowNP;
Dawnguard.esm;GiantClub;
Dawnguard.esm;testVorpalSword;
Dawnguard.esm;DLC1PrelateDagger;
Dragonborn.esm;AshSpawn;
Dragonborn.esm;DLC2dunHaknirScimitar01NP;
Dragonborn.esm;DLC2dunHaknirScimitar02NP;
Dragonborn.esm;DLC2dunHaknirScimitar02NP;
Dragonborn.esm;BoundWeapon;
Dragonborn.esm;DwarvenBallistaBow;
Dragonborn.esm;LurkerWeapon;
Dragonborn.esm;MiraakFight;
Dragonborn.esm;DLC2MiraakStaff ;
Dragonborn.esm;DLC2MKMiraakStaff1;
Dragonborn.esm;DLC2MKMiraakStaff2;
Dragonborn.esm;DLC2MKMiraakStaffTentacles1;
Dragonborn.esm;DLC2MKMiraakSword1;
Dragonborn.esm;DLC2MKMiraakSword2;
Dragonborn.esm;RieklingSpear;
Dawnguard.esm;Wrathman;
Skyrim.esm;crDwarvenSphereCrossbow;
Skyrim.esm;crDwarvenSphereCrossbow02;
